,Factory,Medical-Related Place,Place for Sports,Residence,Vehicle-Related Place,Office
0,0.0,5.0,-22.0,-10.0,6.0,3.0
1,-1.0,-4.0,-23.0,-5.0,1.0,4.0
2,0.0,2.0,4.0,7.0,2.0,-3.0
3,0.0,-5.0,12.0,-6.0,-5.0,2.0
4,1.0,-4.0,4.0,-7.0,-4.0,0.0
5,-1.0,-3.0,-31.0,29.0,9.0,-14.0
6,0.0,1.0,3.0,-21.0,-10.0,9.0
7,0.0,4.0,11.0,14.0,0.0,-2.0
8,0.0,4.0,-7.0,6.0,2.0,2.0
9,0.0,-1.0,8.0,-10.0,2.0,-6.0
10,1.0,1.0,-16.0,-2.0,-2.0,2.0
11,0.0,-8.0,-14.0,-12.0,-1.0,2.0
12,-1.0,5.0,7.0,13.0,1.0,2.0
13,0.0,-5.0,2.0,-21.0,5.0,-2.0
14,0.0,1.0,-1.0,25.0,-8.0,-4.0
15,0.0,2.0,-5.0,0.0,4.0,-2.0
16,0.0,2.0,8.0,-10.0,0.0,6.0
17,0.0,-1.0,-3.0,16.0,2.0,-5.0
18,0.0,-3.0,-18.0,-15.0,-5.0,5.0
19,0.0,-3.0,9.0,8.0,1.0,0.0
20,0.0,3.0,-14.0,-3.0,-1.0,-2.0
21,0.0,-1.0,6.0,-12.0,1.0,-3.0
22,0.0,4.0,-1.0,-18.0,0.0,0.0
23,0.0,-7.0,-3.0,9.0,-1.0,5.0
24,0.0,-1.0,8.0,12.0,2.0,-5.0
25,0.0,2.0,9.0,-3.0,-2.0,-2.0
26,1.0,5.0,-21.0,18.0,5.0,-3.0
27,0.0,-4.0,5.0,-12.0,-2.0,12.0
28,-1.0,2.0,5.0,13.0,2.0,-4.0
29,0.0,-3.0,1.0,-28.0,-4.0,-2.0
30,0.0,1.0,-1.0,13.0,-2.0,-4.0
31,0.0,-4.0,-6.0,11.0,0.0,5.0
32,0.0,9.0,-1.0,-10.0,3.0,0.0
33,0.0,3.0,-1.0,10.0,5.0,-8.0
34,0.0,1.0,-4.0,-10.0,-7.0,10.0
35,0.0,-11.0,-6.0,-3.0,-1.0,-2.0
36,0.0,-1.0,11.0,12.0,4.0,-4.0
37,1.0,0.0,-6.0,11.0,-4.0,-1.0
38,0.0,4.0,-3.0,-7.0,1.0,0.0
39,-1.0,-4.0,3.0,3.0,0.0,5.0
40,0.0,2.0,-2.0,-18.0,2.0,-6.0
41,1.0,4.0,-2.0,15.0,3.0,6.0
42,0.0,6.0,-1.0,-16.0,-4.0,-7.0
43,-1.0,-1.0,0.0,18.0,2.0,5.0
44,0.0,-2.0,-4.0,-35.0,14.0,3.0
45,1.0,-2.0,1.0,40.0,-9.0,-6.0
46,-1.0,4.0,8.0,-20.0,-6.0,5.0
47,0.0,-2.0,1.0,2.0,0.0,2.0
48,0.0,-8.0,-1.0,-2.0,-2.0,-11.0
49,0.0,5.0,-5.0,11.0,-2.0,6.0
50,0.0,0.0,-2.0,-12.0,1.0,-2.0
51,0.0,2.0,2.0,15.0,2.0,-4.0
52,0.0,-8.0,-7.0,-2.0,0.0,2.0
53,0.0,3.0,1.0,0.0,0.0,-1.0
54,0.0,-3.0,-1.0,-7.0,-3.0,0.0
55,0.0,-1.0,2.0,-19.0,3.0,2.0
56,0.0,1.0,-2.0,-5.0,-1.0,1.0
57,0.0,2.0,1.0,5.0,-3.0,-3.0
58,0.0,6.0,0.0,-3.0,0.0,0.0
59,0.0,-9.0,-2.0,22.0,1.0,3.0
60,0.0,5.0,3.0,-29.0,-1.0,-5.0
61,0.0,-5.0,-2.0,-8.0,1.0,5.0
62,0.0,5.0,-2.0,3.0,0.0,-2.0
63,0.0,-5.0,6.0,12.0,1.0,2.0
64,0.0,-2.0,-2.0,0.0,0.0,-1.0
65,0.0,2.0,-1.0,-28.0,-2.0,1.0
66,0.0,0.0,7.0,18.0,0.0,-4.0
67,0.0,-5.0,-4.0,4.0,0.0,1.0
68,0.0,6.0,-4.0,-23.0,0.0,-2.0
69,1.0,0.0,1.0,9.0,1.0,7.0
70,-1.0,0.0,0.0,4.0,1.0,-6.0
71,0.0,0.0,3.0,6.0,-1.0,-2.0
72,0.0,-2.0,-2.0,-14.0,-1.0,2.0
73,0.0,-2.0,-3.0,3.0,0.0,2.0
74,0.0,4.0,7.0,8.0,0.0,-3.0
75,0.0,-2.0,-6.0,-28.0,-1.0,1.0
76,0.0,-1.0,5.0,16.0,1.0,0.0
77,0.0,-1.0,-7.0,-1.0,2.0,2.0
78,0.0,2.0,7.0,-14.0,-1.0,-3.0
79,1.0,1.0,-6.0,8.0,1.0,0.0
80,-1.0,-3.0,1.0,7.0,-2.0,1.0
81,0.0,-2.0,1.0,-8.0,0.0,-1.0
82,1.0,0.0,-2.0,-9.0,1.0,-1.0
83,-1.0,0.0,0.0,2.0,-1.0,1.0
84,0.0,5.0,-1.0,9.0,0.0,0.0
85,0.0,-2.0,3.0,-14.0,-1.0,-1.0
86,0.0,5.0,-4.0,14.0,4.0,1.0
87,0.0,-5.0,1.0,-12.0,-4.0,1.0
88,0.0,-2.0,0.0,5.0,0.0,2.0
89,0.0,8.0,3.0,2.0,1.0,-1.0
90,0.0,-5.0,4.0,3.0,0.0,-2.0
91,0.0,-1.0,-6.0,-13.0,0.0,4.0
92,0.0,-1.0,0.0,4.0,1.0,-4.0
93,0.0,4.0,-2.0,-9.0,-2.0,2.0
94,0.0,-1.0,1.0,13.0,0.0,-2.0
95,0.0,-6.0,2.0,-2.0,0.0,0.0
96,0.0,5.0,-1.0,-3.0,1.0,0.0
97,0.0,5.0,-1.0,-3.0,-1.0,0.0
