,Factory,Food & Snack,"History, Museum & Arts",Indoor Entertainment,Outdoor Entertainment,Place for Sports,School,Travel-Related Place,Residence
0,0.0,14.0,-4.0,-23.0,7.0,-22.0,-5.0,-1.0,-10.0
1,-1.0,1.0,1.0,-26.0,6.0,-23.0,-3.0,-1.0,-5.0
2,0.0,11.0,-8.0,14.0,2.0,4.0,3.0,-2.0,7.0
3,0.0,-10.0,4.0,-1.0,-1.0,12.0,2.0,1.0,-6.0
4,1.0,-9.0,1.0,-47.0,-15.0,4.0,-3.0,1.0,-7.0
5,-1.0,28.0,-7.0,50.0,13.0,-31.0,1.0,-1.0,29.0
6,0.0,-15.0,2.0,4.0,-7.0,3.0,6.0,0.0,-21.0
7,0.0,10.0,7.0,-37.0,-8.0,11.0,-9.0,3.0,14.0
8,0.0,-18.0,-11.0,93.0,12.0,-7.0,-4.0,-5.0,6.0
9,0.0,-4.0,4.0,-66.0,-12.0,8.0,3.0,2.0,-10.0
10,1.0,0.0,5.0,4.0,-6.0,-16.0,4.0,1.0,-2.0
11,0.0,1.0,-3.0,-12.0,8.0,-14.0,5.0,1.0,-12.0
12,-1.0,-12.0,-5.0,12.0,-4.0,7.0,-19.0,4.0,13.0
13,0.0,-4.0,16.0,-12.0,1.0,2.0,6.0,-1.0,-21.0
14,0.0,20.0,-13.0,-16.0,-9.0,-1.0,5.0,-6.0,25.0
15,0.0,-14.0,3.0,-4.0,7.0,-5.0,-10.0,4.0,0.0
16,0.0,8.0,1.0,26.0,0.0,8.0,0.0,-1.0,-10.0
17,0.0,-10.0,1.0,-21.0,-6.0,-3.0,4.0,-1.0,16.0
18,0.0,-6.0,-11.0,-5.0,5.0,-18.0,-1.0,0.0,-15.0
19,0.0,5.0,8.0,-5.0,-10.0,9.0,3.0,0.0,8.0
20,0.0,-10.0,-1.0,25.0,-1.0,-14.0,0.0,-1.0,-3.0
21,0.0,4.0,-11.0,1.0,4.0,6.0,-5.0,-1.0,-12.0
22,0.0,-9.0,10.0,-1.0,2.0,-1.0,1.0,1.0,-18.0
23,0.0,13.0,-3.0,-13.0,-2.0,-3.0,1.0,2.0,9.0
24,0.0,-4.0,4.0,-2.0,-9.0,8.0,-3.0,-4.0,12.0
25,0.0,-6.0,-5.0,2.0,8.0,9.0,5.0,1.0,-3.0
26,1.0,-11.0,5.0,16.0,6.0,-21.0,3.0,2.0,18.0
27,0.0,24.0,-4.0,9.0,-20.0,5.0,-3.0,0.0,-12.0
