,Bridge,Professional & Other Places,Furniture / Home Store,Residence,Place for Sports,Hotel,Vehicle-Related Place,Recycling Facility,Clothing & Jewelry,Neighborhood,Embassy / Consulate,Post Office,Vehicle Shop,Hardware Store,Religion & Spirituality,"History, Museum & Arts",Office,School,Smoke Shop,Indoor Entertainment,"Beauty, Cosmetology & Hairdressing",Electronics,Travel-Related Place,Rest Area,Government Building,General Education Place,Financial or Legal Service,Convention Center,Place for Socializing,Medical-Related Place,Alcoholic-Related Place,Transportation,Storage Facility,Paper / Office Supplies Store,Design Studio,Miscellaneous Shop,Shop Related to Entertainment,Newsstand,Bank,Funeral,Restaurant,"Store, Market & Fair",Pet-Related Place,Laundry Service,Outdoor Entertainment,Sporting Goods Shop,Factory,Food & Snack,Castle
0,0.0,0.0,0.0,7.0,9.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,27.0,2.0,0.0,2.0,8.0,0.0,0.0,8.0,0.0
1,0.0,0.0,0.0,13.0,5.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,6.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0
2,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
3,0.0,0.0,0.0,7.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0
4,1.0,0.0,0.0,16.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,29.0,2.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0
5,0.0,0.0,0.0,9.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0
6,2.0,0.0,0.0,9.0,5.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0
7,1.0,0.0,0.0,15.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
8,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,3.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0
9,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0
