,Alcoholic-Related Place,Bank,"Beauty, Cosmetology & Hairdressing",Bridge,Castle,Clothing & Jewelry,Convention Center,Design Studio,Electronics,Embassy / Consulate,Factory,Financial or Legal Service,Food & Snack,Funeral,Furniture / Home Store,General Education Place,Government Building,Hardware Store,"History, Museum & Arts",Hotel,Indoor Entertainment,Laundry Service,Medical-Related Place,Miscellaneous Shop,Neighborhood,Newsstand,Office,Outdoor Entertainment,Paper / Office Supplies Store,Pet-Related Place,Place for Socializing,Place for Sports,Post Office,Professional & Other Places,Recycling Facility,Religion & Spirituality,Residence,Rest Area,Restaurant,School,Shop Related to Entertainment,Smoke Shop,Sporting Goods Shop,Storage Facility,"Store, Market & Fair",Transportation,Travel-Related Place,Vehicle Shop,Vehicle-Related Place
0,1.0,10.0,22.0,12.0,0.0,19.0,3.0,0.0,7.0,1.0,1.0,0.0,61.0,3.0,4.0,6.0,5.0,2.0,29.0,19.0,234.0,4.0,19.0,4.0,22.0,0.0,15.0,52.0,1.0,2.0,7.0,107.0,2.0,0.0,0.0,7.0,107.0,0.0,314.0,25.0,5.0,0.0,3.0,0.0,28.0,124.0,5.0,1.0,5.0
1,1.0,0.0,10.0,8.0,0.0,13.0,1.0,1.0,4.0,0.0,1.0,0.0,75.0,0.0,4.0,4.0,0.0,2.0,25.0,19.0,211.0,3.0,24.0,5.0,33.0,0.0,18.0,59.0,0.0,0.0,9.0,85.0,1.0,1.0,0.0,3.0,97.0,0.0,289.0,20.0,4.0,1.0,3.0,0.0,24.0,122.0,4.0,1.0,11.0
2,2.0,6.0,20.0,2.0,0.0,15.0,2.0,0.0,4.0,1.0,0.0,0.0,76.0,3.0,2.0,2.0,7.0,2.0,26.0,22.0,185.0,1.0,20.0,3.0,30.0,0.0,22.0,65.0,2.0,1.0,3.0,62.0,1.0,0.0,0.0,4.0,92.0,0.0,292.0,17.0,0.0,3.0,9.0,1.0,23.0,102.0,3.0,1.0,12.0
3,2.0,3.0,10.0,9.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,0.0,87.0,0.0,2.0,6.0,9.0,2.0,18.0,19.0,199.0,1.0,22.0,2.0,32.0,0.0,19.0,67.0,2.0,0.0,5.0,66.0,1.0,0.0,0.0,9.0,99.0,1.0,282.0,20.0,1.0,9.0,2.0,0.0,25.0,111.0,1.0,3.0,14.0
4,0.0,5.0,10.0,4.0,0.0,24.0,1.0,0.0,7.0,0.0,0.0,0.0,77.0,2.0,5.0,1.0,8.0,1.0,22.0,26.0,198.0,1.0,17.0,1.0,26.0,1.0,21.0,66.0,0.0,0.0,2.0,78.0,1.0,0.0,0.0,10.0,93.0,0.0,248.0,22.0,2.0,9.0,2.0,0.0,23.0,111.0,2.0,2.0,9.0
5,2.0,3.0,11.0,3.0,0.0,17.0,2.0,1.0,17.0,0.0,1.0,0.0,68.0,5.0,3.0,6.0,6.0,0.0,23.0,20.0,151.0,2.0,13.0,4.0,26.0,0.0,21.0,51.0,0.0,0.0,8.0,82.0,1.0,0.0,0.0,9.0,86.0,0.0,260.0,19.0,11.0,7.0,4.0,0.0,19.0,93.0,3.0,1.0,5.0
6,1.0,4.0,11.0,10.0,0.0,18.0,1.0,0.0,7.0,0.0,0.0,0.0,96.0,3.0,2.0,5.0,4.0,1.0,16.0,25.0,201.0,5.0,10.0,3.0,24.0,0.0,7.0,64.0,0.0,3.0,5.0,51.0,1.0,0.0,0.0,13.0,115.0,0.0,229.0,20.0,6.0,1.0,2.0,0.0,21.0,98.0,2.0,3.0,14.0
7,3.0,6.0,7.0,5.0,0.0,14.0,2.0,0.0,10.0,0.0,0.0,0.0,81.0,1.0,1.0,2.0,6.0,1.0,18.0,16.0,205.0,4.0,11.0,1.0,20.0,0.0,16.0,57.0,0.0,2.0,3.0,54.0,0.0,0.0,0.0,5.0,94.0,0.0,243.0,26.0,1.0,2.0,1.0,0.0,12.0,113.0,2.0,4.0,4.0
8,3.0,2.0,9.0,6.0,0.0,16.0,2.0,0.0,9.0,0.0,0.0,1.0,91.0,1.0,0.0,6.0,1.0,2.0,25.0,18.0,168.0,3.0,15.0,2.0,19.0,0.0,14.0,49.0,0.0,2.0,3.0,65.0,2.0,0.0,0.0,5.0,108.0,1.0,229.0,17.0,4.0,3.0,2.0,0.0,14.0,103.0,5.0,2.0,4.0
9,0.0,6.0,4.0,5.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,73.0,5.0,2.0,3.0,4.0,2.0,14.0,15.0,261.0,1.0,19.0,4.0,24.0,0.0,16.0,61.0,3.0,1.0,3.0,58.0,1.0,1.0,0.0,2.0,114.0,0.0,253.0,13.0,4.0,3.0,1.0,0.0,21.0,94.0,0.0,1.0,6.0
