A,B,C,AB,AC,BC,ABC
45,49,48,39,35,40,19
48,50,47,40,39,42,22
48,49,46,40,36,43,26
47,50,46,40,40,44,29
47,50,46,41,43,40,23
47,50,47,41,42,43,25
48,47,48,45,45,43,29
48,48,48,49,49,43,37
48,48,48,50,54,42,37
48,48,48,53,55,44,37
48,48,47,56,54,43,37
48,48,47,53,52,43,36
48,49,47,55,53,42,31
46,48,48,56,51,43,34
46,48,49,56,47,42,32
46,48,48,52,45,43,33
45,49,48,49,45,42,33
47,49,50,50,46,41,35
47,49,47,50,51,42,34
49,49,47,56,53,45,37
48,47,47,54,54,48,37
48,47,47,53,53,47,38
48,47,46,51,56,44,43
48,46,46,50,54,45,47
48,46,47,46,59,44,47
49,46,48,44,58,45,44
49,46,49,46,63,46,57
48,46,50,48,62,46,61
48,46,50,48,63,44,64
49,45,49,48,66,43,60
48,45,49,46,67,42,55
47,44,50,48,68,43,61
47,43,50,48,66,42,54
47,44,49,51,65,40,47
47,43,48,47,65,39,46
47,41,48,43,66,37,37
47,42,47,41,69,39,41
48,41,47,44,66,37,39
47,42,47,42,70,34,39
47,42,46,43,68,32,44
47,42,45,45,66,31,40
47,41,45,45,66,34,42
46,41,46,47,73,33,40
47,40,45,52,75,29,45
49,40,47,46,77,34,44
49,41,47,49,79,31,46
46,42,47,51,80,32,44
46,41,46,49,75,33,38
46,41,46,50,78,32,41
47,42,46,49,80,34,40
48,42,45,46,85,32,41
47,42,45,43,87,31,37
46,41,46,38,88,37,42
43,41,45,33,77,33,37
43,41,46,30,73,36,28
42,42,45,28,77,38,25
41,42,45,24,79,33,28
39,42,46,24,73,35,24
39,42,47,28,77,29,26
40,41,48,29,72,30,24
39,41,49,33,67,30,22
39,41,49,38,64,30,23
39,41,50,36,63,29,21
39,41,50,42,59,37,25
39,41,49,45,63,38,32
39,42,49,43,61,41,32
40,42,50,44,61,43,34
42,43,50,49,63,42,37
42,43,51,52,71,45,44
42,44,52,52,76,47,54
42,44,53,54,87,48,69
42,43,52,51,90,48,75
43,44,52,47,92,43,70
43,43,54,48,93,49,76
43,43,54,44,94,54,74
42,42,54,48,98,54,90
44,42,54,47,100,55,86
45,42,55,50,103,54,77
45,42,55,52,97,55,79
46,42,56,52,92,59,81
46,42,56,56,87,61,92
46,41,56,57,90,63,96
46,41,56,60,87,61,97
46,41,55,63,84,66,104
46,41,55,62,81,67,103
46,41,55,63,75,71,90
