A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
44,53,44,52,32,4,1,9,4,2,3,0,0,2,0
44,53,44,52,30,6,1,8,3,1,4,0,0,1,0
43,53,42,51,30,8,2,8,3,2,6,2,0,1,0
42,54,43,51,28,5,2,7,4,1,5,2,0,0,0
43,54,43,51,27,6,2,6,4,1,6,1,0,0,0
43,54,43,51,25,6,2,6,4,1,6,1,0,0,0
43,54,42,51,21,6,2,5,3,0,5,1,0,0,0
43,54,42,51,22,8,2,6,2,0,5,1,0,0,0
43,54,41,52,23,9,1,5,2,2,6,1,0,0,0
43,55,41,52,24,8,1,5,3,3,5,1,0,0,0
43,54,41,53,24,7,1,3,2,3,3,0,0,0,0
43,54,39,53,24,6,1,4,3,3,2,0,0,0,0
43,54,39,53,25,7,1,4,3,2,2,0,0,0,0
43,54,39,53,24,8,1,5,3,1,3,0,0,0,0
43,54,39,52,27,8,0,6,1,2,3,0,0,0,0
43,53,38,52,26,8,0,6,1,1,4,0,0,0,0
43,53,38,52,26,8,0,6,1,0,4,0,0,0,0
43,53,39,52,27,9,0,6,1,1,5,0,0,0,0
43,53,39,52,27,7,0,6,2,1,5,0,0,0,0
42,53,40,52,27,7,0,5,3,1,4,0,0,0,0
41,53,40,52,26,7,0,6,2,1,5,0,0,0,0
41,53,40,52,26,8,0,6,2,1,5,0,0,0,0
41,54,40,53,27,8,0,5,3,1,5,0,0,0,0
41,54,40,52,27,8,0,5,4,1,5,0,0,0,0
41,53,40,52,27,7,0,5,5,1,5,0,0,0,0
41,53,42,52,28,7,2,5,5,1,5,0,0,0,0
41,52,42,52,29,7,3,4,5,0,5,1,0,0,0
41,52,42,53,29,7,3,3,5,1,4,3,0,0,0
42,52,42,51,27,7,4,3,4,1,4,4,0,0,0
42,52,42,52,27,6,4,3,4,1,4,4,0,0,0
42,52,41,53,27,6,4,3,2,1,4,3,0,0,0
42,52,41,53,25,5,2,3,1,1,4,2,0,0,0
43,52,41,53,26,5,4,4,1,1,4,3,0,0,0
44,52,41,54,27,5,4,3,2,1,3,3,0,0,0
44,52,41,53,26,5,4,3,1,0,3,3,0,0,0
44,52,41,53,26,5,5,3,1,0,3,3,0,0,0
44,53,41,53,27,5,5,5,2,0,3,3,0,0,0
45,53,42,52,27,5,4,6,3,0,3,3,0,0,0
45,53,42,52,27,6,4,7,3,0,4,3,0,0,0
45,54,43,52,27,8,4,7,3,1,5,3,0,1,0
45,54,43,53,30,8,3,8,2,1,7,2,0,1,0
43,54,44,53,29,8,2,8,2,2,7,1,0,1,0
43,54,44,53,29,8,2,8,0,2,6,0,0,0,0
43,55,44,53,28,8,2,7,0,2,5,0,0,0,0
43,55,44,53,28,8,1,7,1,3,4,0,0,0,0
43,55,44,53,28,7,0,7,1,3,4,0,0,0,0
