"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('G',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('A', 'G')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('B', 'G')","('C', 'D')","('C', 'E')","('C', 'F')","('C', 'G')","('D', 'E')","('D', 'F')","('D', 'G')","('E', 'F')","('E', 'G')","('F', 'G')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'B', 'G')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'C', 'G')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'D', 'G')","('A', 'E', 'F')","('A', 'E', 'G')","('A', 'F', 'G')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'C', 'G')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'D', 'G')","('B', 'E', 'F')","('B', 'E', 'G')","('B', 'F', 'G')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'D', 'G')","('C', 'E', 'F')","('C', 'E', 'G')","('C', 'F', 'G')","('D', 'E', 'F')","('D', 'E', 'G')","('D', 'F', 'G')","('E', 'F', 'G')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'C', 'G')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'D', 'G')","('A', 'B', 'E', 'F')","('A', 'B', 'E', 'G')","('A', 'B', 'F', 'G')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'D', 'G')","('A', 'C', 'E', 'F')","('A', 'C', 'E', 'G')","('A', 'C', 'F', 'G')","('A', 'D', 'E', 'F')","('A', 'D', 'E', 'G')","('A', 'D', 'F', 'G')","('A', 'E', 'F', 'G')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'D', 'G')","('B', 'C', 'E', 'F')","('B', 'C', 'E', 'G')","('B', 'C', 'F', 'G')","('B', 'D', 'E', 'F')","('B', 'D', 'E', 'G')","('B', 'D', 'F', 'G')","('B', 'E', 'F', 'G')","('C', 'D', 'E', 'F')","('C', 'D', 'E', 'G')","('C', 'D', 'F', 'G')","('C', 'E', 'F', 'G')","('D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'D', 'G')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'C', 'E', 'G')","('A', 'B', 'C', 'F', 'G')","('A', 'B', 'D', 'E', 'F')","('A', 'B', 'D', 'E', 'G')","('A', 'B', 'D', 'F', 'G')","('A', 'B', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'G')","('A', 'C', 'D', 'F', 'G')","('A', 'C', 'E', 'F', 'G')","('A', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'G')","('B', 'C', 'D', 'F', 'G')","('B', 'C', 'E', 'F', 'G')","('B', 'D', 'E', 'F', 'G')","('C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'G')","('A', 'B', 'C', 'D', 'F', 'G')","('A', 'B', 'C', 'E', 'F', 'G')","('A', 'B', 'D', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F', 'G')"
37,25,22,26,21,27,17,28,22,23,23,28,24,17,19,17,18,10,10,9,18,6,19,13,10,13,13,12,12,7,17,14,10,9,6,5,4,6,5,8,8,17,7,6,7,9,0,6,4,3,5,8,4,3,0,4,6,3,3,2,3,1,8,2,4,4,0,2,0,0,3,8,4,1,0,5,2,2,0,0,1,0,4,1,0,0,5,0,0,0,1,1,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,26,22,26,21,27,17,24,23,21,24,29,21,19,21,11,15,7,15,8,15,7,20,18,11,14,8,15,13,5,11,11,3,7,8,8,3,9,8,7,11,15,10,13,1,5,3,6,6,2,4,1,7,2,4,0,4,3,3,7,2,5,7,2,3,3,1,1,0,0,2,1,4,2,2,0,1,1,1,3,2,1,8,1,2,0,0,0,2,1,0,2,1,2,0,0,2,2,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,23,28,18,28,18,27,24,25,20,29,13,15,22,9,16,7,19,12,11,8,15,25,12,16,9,17,14,18,11,10,4,8,9,12,3,8,4,4,8,6,4,11,4,2,2,8,9,1,3,0,6,6,4,1,6,3,3,7,2,15,2,7,6,4,2,6,1,0,3,0,4,5,1,1,3,1,1,0,1,1,0,5,0,0,1,0,1,2,0,2,0,2,0,1,0,2,5,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,23,22,27,18,31,20,28,22,20,16,21,12,9,19,7,21,8,20,9,16,14,17,23,18,15,6,17,11,11,7,11,3,5,10,11,8,11,14,8,6,2,8,2,3,8,2,6,14,4,6,0,7,7,3,6,5,3,5,6,1,12,1,1,6,6,2,4,6,1,3,0,3,5,1,2,4,2,3,3,1,7,1,1,2,1,2,0,3,1,0,1,0,2,1,3,1,1,1,0,0,3,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
30,21,24,29,18,29,21,28,18,16,11,16,17,14,17,7,23,8,16,9,16,13,16,24,15,15,9,16,14,3,5,9,8,6,5,5,7,6,9,4,9,4,5,3,1,11,3,8,14,0,6,1,7,4,5,4,5,2,6,10,2,6,4,1,2,3,3,0,1,0,3,2,3,1,1,0,3,3,3,4,0,0,2,0,4,0,1,1,3,5,0,0,2,1,0,1,1,0,0,1,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,18,23,28,17,29,22,26,23,15,9,19,13,12,16,7,18,10,11,6,16,19,15,23,20,14,11,24,16,4,4,9,7,7,4,7,3,5,5,2,8,3,10,2,1,3,2,7,9,3,5,2,5,1,2,7,2,3,9,6,6,12,8,3,2,1,1,0,0,0,3,1,3,0,2,0,2,0,3,3,1,1,4,0,0,0,0,0,1,2,2,3,2,0,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25,19,23,25,15,28,24,24,17,8,8,14,12,13,12,11,15,12,9,8,14,12,15,39,23,12,12,18,13,3,6,4,4,5,3,5,5,1,9,4,1,1,6,4,3,2,1,3,17,7,6,2,7,5,6,5,3,4,5,9,10,25,4,4,2,1,2,1,0,0,0,0,0,2,3,1,1,1,2,1,0,6,0,3,0,0,0,0,0,2,0,12,0,3,0,5,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20,22,22,14,28,24,21,18,11,10,8,10,14,6,9,14,10,5,8,12,13,15,37,18,13,14,19,15,3,7,5,4,4,6,1,2,2,4,1,2,6,2,1,4,2,4,1,4,4,2,3,5,2,4,1,3,5,2,17,20,31,10,1,4,0,0,1,2,0,0,4,0,2,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,3,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20,21,23,14,25,24,18,25,10,13,13,11,17,9,8,11,9,7,8,8,14,16,33,16,11,13,21,14,2,6,5,4,2,9,5,8,5,6,0,5,5,3,4,4,4,6,1,4,2,2,1,1,0,3,1,1,4,1,18,11,25,12,0,4,4,4,0,0,0,0,1,0,0,2,0,1,3,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,21,23,21,14,26,24,19,29,9,9,19,15,19,15,9,15,12,11,6,8,12,15,31,18,12,9,22,17,3,4,12,9,6,7,9,8,0,5,0,3,5,6,9,2,8,9,8,7,1,2,2,4,0,2,0,0,2,2,15,5,29,6,1,0,18,11,0,0,0,0,2,4,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,4,2,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20,22,20,14,25,23,21,25,10,7,18,17,16,13,9,15,9,11,2,5,15,13,26,20,11,12,17,14,8,5,22,10,6,1,6,9,2,4,5,2,4,5,6,2,4,10,5,4,5,5,4,1,3,3,6,0,2,0,18,6,21,5,3,1,10,6,1,2,6,4,4,2,1,0,5,0,1,0,0,1,2,0,1,0,4,0,2,0,1,1,1,0,0,1,0,0,9,1,0,3,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23,20,24,19,12,26,24,18,28,11,6,13,18,21,9,7,24,13,14,2,7,18,10,28,21,14,13,18,19,6,3,19,10,12,2,6,10,5,6,7,3,6,6,9,0,9,12,3,12,4,12,3,8,0,4,9,0,1,1,13,12,17,9,9,0,12,8,3,4,4,1,3,4,0,2,8,0,1,0,2,5,3,2,0,2,6,0,0,0,3,3,4,6,0,0,0,0,9,0,2,6,0,0,0,0,3,1,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
22,19,23,20,14,24,24,20,19,13,3,14,11,16,8,8,20,12,13,5,14,18,11,29,14,14,8,19,16,3,2,8,11,13,2,9,9,3,19,5,5,1,4,6,4,10,8,4,14,0,10,2,9,3,16,4,3,3,7,13,5,9,5,3,2,4,10,3,9,0,4,1,3,3,15,1,3,1,2,9,0,4,1,3,9,0,4,1,4,9,0,0,5,7,0,3,0,0,3,6,0,2,1,2,8,0,0,1,7,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0
23,23,23,18,15,24,25,22,22,16,9,12,10,12,14,13,16,14,9,10,16,17,17,33,15,15,9,11,11,7,8,5,9,9,7,7,9,6,22,4,4,2,0,2,4,5,5,12,19,3,9,2,0,3,14,4,7,8,1,18,3,7,2,2,5,1,7,6,11,0,3,1,0,2,5,4,2,1,0,6,0,0,0,2,0,0,4,1,0,9,0,0,0,5,0,0,0,2,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,23,19,17,25,22,21,26,21,14,15,10,16,23,10,22,10,12,10,13,16,18,35,12,18,13,7,10,24,9,12,3,15,14,13,8,13,17,1,7,4,0,12,8,4,2,15,40,3,10,2,2,7,8,2,4,9,0,29,8,7,4,12,6,2,0,13,25,0,3,0,0,9,6,1,8,6,0,7,2,0,0,8,5,0,1,2,0,22,0,2,0,2,3,0,0,6,9,3,0,1,0,0,7,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
24,21,22,25,18,24,21,19,31,29,18,17,11,15,28,15,24,7,21,14,12,15,26,40,7,16,12,14,9,28,14,14,4,22,20,11,13,19,27,2,13,8,4,18,9,11,4,29,50,3,19,3,5,19,24,1,10,8,3,33,2,4,5,17,8,9,2,25,30,2,12,1,3,15,22,0,10,12,2,21,0,2,2,21,25,0,11,3,3,44,0,4,2,21,0,0,3,0,17,24,0,10,2,2,25,0,2,1,20,0,0,2,0,25,0,0,3,0,0,24,0,0,2,0,0,0,0
23,22,22,26,19,24,19,15,26,34,15,22,9,8,21,16,27,11,22,14,15,15,26,51,10,20,13,16,6,19,7,12,5,28,13,12,6,23,50,2,10,5,2,11,7,11,3,15,42,7,21,7,14,18,34,6,12,9,2,32,5,13,11,11,4,8,0,9,21,2,5,2,2,16,36,0,5,6,0,30,0,1,1,12,27,3,10,4,3,21,3,12,14,21,2,3,2,4,8,16,0,4,0,0,9,0,1,1,15,0,0,0,0,18,2,3,4,2,0,8,0,0,0,0,0,0,0
22,21,20,26,18,24,18,22,14,29,14,21,9,7,26,14,21,13,18,11,14,14,35,54,17,23,13,16,7,21,6,12,12,12,6,11,5,19,36,7,14,7,5,10,7,8,4,22,34,21,18,8,16,13,17,7,14,8,4,51,17,25,15,9,4,7,2,4,14,13,6,6,7,6,9,2,10,6,4,27,2,7,5,11,10,6,12,5,6,20,13,28,13,23,8,8,8,26,4,4,2,10,4,4,4,2,10,5,12,4,4,8,4,14,7,10,10,20,16,8,4,4,8,4,8,14,8
20,22,18,26,17,24,18,19,17,24,14,23,15,10,24,9,22,18,9,10,13,12,30,61,18,27,10,12,9,16,6,16,20,6,11,9,3,27,39,14,18,8,8,1,3,6,4,8,45,24,14,3,15,10,10,5,14,5,0,66,13,20,5,1,6,8,3,4,17,21,9,5,13,8,3,4,12,5,0,36,10,12,2,1,2,1,9,1,0,22,3,27,2,8,7,0,0,7,1,2,1,11,3,0,6,3,20,2,3,7,0,0,3,2,1,0,0,2,0,2,1,0,0,2,0,0,0
21,22,17,24,18,24,22,13,19,21,13,35,14,9,17,6,20,19,8,12,14,11,25,55,14,24,9,9,5,13,3,19,7,5,7,6,4,22,71,9,24,4,6,2,3,5,2,4,19,12,5,2,8,10,9,4,13,5,3,41,12,12,6,2,0,3,0,3,16,7,6,0,6,9,5,4,8,4,2,55,8,7,4,1,1,0,1,0,0,5,1,9,1,10,6,3,4,6,0,2,0,0,0,0,5,0,7,0,7,8,2,4,4,0,0,0,0,1,4,0,0,0,0,0,4,0,0
21,23,14,23,21,25,23,11,9,31,14,34,11,7,10,5,17,17,8,13,12,12,18,47,10,25,9,3,3,6,2,4,4,5,7,2,4,18,85,2,17,1,0,3,1,5,0,2,17,0,6,2,0,7,6,4,12,2,1,27,3,3,2,2,0,1,0,0,6,0,0,1,0,2,2,1,2,0,0,40,0,0,0,0,2,0,1,0,0,8,0,0,0,7,2,2,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21,23,16,25,22,28,23,18,11,25,10,34,12,5,5,6,16,18,14,11,14,18,25,48,9,23,12,5,2,2,1,3,15,16,4,18,1,9,53,3,6,2,1,0,1,4,2,0,9,0,5,1,1,8,17,2,4,6,1,31,8,6,4,0,0,0,0,0,4,0,0,0,0,5,28,1,2,0,0,13,0,2,0,0,0,0,2,0,1,0,0,0,0,8,2,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,18,25,22,28,23,17,17,15,11,26,14,7,5,5,9,18,10,13,16,16,30,42,17,16,15,11,4,2,2,0,18,10,6,31,8,15,30,4,4,4,2,2,2,2,6,6,3,2,4,2,2,7,17,1,3,9,0,25,20,12,4,0,0,0,7,4,0,2,0,2,0,4,27,0,2,0,0,5,6,2,0,2,2,0,2,0,0,2,4,0,0,3,0,0,0,10,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,19,18,27,20,28,26,16,17,9,7,17,24,8,8,9,5,19,12,8,11,20,31,46,19,16,16,14,5,2,2,0,18,2,3,11,14,10,4,4,1,6,6,2,3,0,6,8,5,0,1,5,0,6,5,7,2,8,1,26,12,16,4,0,0,0,10,4,0,0,0,2,0,0,0,0,0,3,0,3,2,0,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,19,18,28,21,27,26,15,16,8,7,11,23,8,15,10,6,12,11,10,8,19,24,42,13,20,12,15,6,1,2,1,10,0,2,1,14,3,2,4,3,4,7,3,5,0,5,5,7,2,1,2,0,7,4,1,4,5,2,29,6,9,6,0,0,0,5,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0,1,3,0,0,0,2,0,0,0,0,0,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
22,20,17,27,21,28,29,16,12,12,9,10,19,4,11,6,8,8,12,12,4,19,25,41,14,16,18,21,6,2,0,1,7,0,0,1,8,10,9,4,3,4,5,1,2,0,2,2,11,1,0,1,3,13,5,5,3,8,1,20,10,14,12,0,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,4,2,5,2,1,0,0,0,0,0,0,0,1,0,3,7,1,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
21,19,14,29,21,30,30,10,11,15,14,13,14,6,10,7,12,10,9,10,3,13,22,49,25,14,23,30,2,2,1,2,4,2,1,0,6,6,13,8,4,6,4,3,2,2,4,2,12,3,0,2,5,10,1,6,2,10,3,18,12,26,12,0,0,0,1,0,2,1,0,1,1,1,0,2,0,1,0,4,1,5,0,2,0,2,0,2,2,0,1,2,0,2,6,1,2,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
25,19,13,30,21,29,31,15,14,18,12,20,15,9,12,11,8,11,11,9,10,12,20,51,29,13,17,36,3,7,2,6,1,4,3,9,9,2,19,7,1,4,13,4,2,2,2,5,10,2,2,1,4,11,10,3,5,2,6,14,9,31,11,1,1,0,0,1,4,0,0,0,0,1,8,4,1,1,8,0,2,10,0,2,2,0,1,0,2,3,1,1,1,5,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25,18,12,29,20,29,32,22,16,14,14,21,13,11,13,12,5,10,12,4,8,7,23,46,30,13,19,31,11,7,5,4,3,6,3,5,4,9,17,7,1,8,9,7,2,4,1,6,6,5,2,7,1,3,11,3,4,1,3,14,14,25,4,7,2,4,0,4,4,1,2,0,0,1,4,0,1,1,2,1,6,0,0,2,6,0,2,0,0,2,1,2,0,4,0,3,0,2,2,6,0,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
27,18,14,30,20,32,33,26,17,18,14,19,18,12,16,16,7,13,16,5,7,11,18,53,31,18,13,38,14,10,11,3,4,7,2,4,7,2,14,12,2,6,33,15,1,5,5,4,8,12,2,5,2,4,10,13,2,1,3,23,9,36,3,7,0,4,3,0,5,5,0,0,2,0,5,7,2,0,3,0,2,17,0,1,8,11,0,0,2,0,2,5,0,0,2,7,0,9,0,6,4,0,0,2,0,0,4,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
23,20,12,28,21,32,33,24,13,20,14,18,23,9,26,14,10,15,14,6,7,12,24,48,19,18,15,41,9,21,15,5,14,14,6,8,6,7,11,10,2,6,20,15,3,5,4,10,14,14,4,5,2,4,10,4,2,1,5,33,10,18,7,18,5,7,2,6,10,10,1,5,2,1,14,3,1,0,2,1,3,1,0,2,13,3,0,0,2,4,1,1,0,2,0,1,0,14,0,19,3,0,0,2,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,21,11,30,21,34,33,29,15,30,12,25,23,9,22,11,17,19,14,3,7,12,35,40,19,24,11,34,8,36,15,19,20,10,5,10,12,25,19,17,7,5,13,9,1,5,8,14,16,12,5,4,11,6,7,4,1,0,3,22,12,17,10,2,0,2,7,23,21,19,6,5,13,10,5,1,2,0,3,12,13,10,3,2,4,1,0,0,1,5,5,9,1,2,0,2,0,11,0,0,1,0,0,2,9,13,11,3,4,0,1,0,6,0,0,0,0,2,0,0,0,0,0,6,0,0,0
26,20,12,30,21,36,29,38,10,35,13,41,21,8,23,11,31,15,11,8,10,6,34,47,19,36,9,36,5,47,17,47,21,5,3,5,1,21,59,17,13,2,16,5,3,6,1,13,36,7,20,3,17,4,6,3,5,2,5,26,5,39,7,5,2,5,0,38,72,10,14,1,14,0,3,0,1,0,1,4,1,21,1,0,4,0,3,0,1,4,0,24,3,2,2,3,2,6,0,5,0,2,0,0,4,0,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
27,20,12,31,21,40,29,35,11,34,13,45,23,11,23,12,32,14,12,8,8,7,34,80,23,46,13,26,8,34,9,57,23,9,6,4,1,13,81,14,29,3,18,9,2,2,6,20,71,12,26,8,18,5,8,6,7,4,3,94,9,40,12,8,2,0,2,13,114,22,17,6,29,1,0,1,5,1,0,54,2,39,1,2,2,2,1,2,1,75,6,43,6,3,5,3,3,8,2,0,2,0,2,0,47,4,74,2,0,1,0,0,1,1,2,1,1,5,3,0,2,0,0,2,0,1,0
31,21,14,31,19,42,30,34,23,43,21,55,25,21,27,8,30,19,13,5,16,9,32,90,29,38,12,26,25,39,7,38,23,16,2,10,8,36,125,22,51,9,34,9,1,8,16,10,72,22,8,3,21,6,25,6,13,3,5,83,12,42,14,8,0,8,17,11,81,27,10,3,34,4,12,2,12,2,5,156,11,41,10,0,12,5,0,0,4,23,5,44,6,25,5,10,10,38,0,8,2,0,0,4,35,5,55,4,24,4,10,10,36,0,0,8,0,14,20,0,0,8,0,12,20,0,0
