"('A',)","('B',)","('C',)","('A', 'B')","('A', 'C')","('B', 'C')","('A', 'B', 'C')"
35,47,37,28,20,27,8
38,45,36,25,20,26,7
39,45,37,29,24,32,10
36,46,35,27,18,33,15
35,44,36,34,24,32,21
35,44,37,38,32,32,30
37,45,38,41,47,44,53
38,46,39,47,57,49,53
37,48,42,48,61,41,53
40,49,44,58,66,50,71
40,49,49,59,78,50,69
40,49,49,48,77,47,64
39,48,50,50,81,53,88
38,46,52,41,89,51,80
37,47,52,35,87,40,62
40,49,53,25,75,45,30
42,49,53,33,77,59,43
45,46,51,39,66,54,51
43,46,51,36,67,49,45
41,46,55,38,73,44,40
38,47,53,43,64,54,56
38,48,53,38,71,68,58
38,45,53,39,70,56,47
38,45,56,41,84,56,50
35,45,59,45,83,44,60
36,45,59,42,88,48,63
33,46,54,32,77,42,37
34,47,51,35,80,28,45
36,47,47,28,69,38,43
36,49,45,31,63,23,18
36,49,44,32,44,22,24
34,49,44,42,31,33,27
34,49,44,49,45,45,49
35,51,42,45,60,46,87
37,52,41,45,62,37,55
39,53,44,44,59,41,46
41,53,46,46,58,41,38
40,54,50,53,72,44,51
44,56,50,58,88,56,61
46,54,47,50,70,40,44
47,55,49,60,68,41,51
47,54,53,50,83,53,51
45,55,58,66,95,64,79
44,53,59,69,98,56,75
46,54,57,64,93,56,62
44,54,58,53,91,57,40
45,57,60,49,86,66,53
46,57,58,43,94,64,61
47,58,60,52,110,66,84
49,58,62,60,104,69,67
48,58,64,63,94,98,97
48,55,63,48,94,88,101
46,54,66,40,98,75,87
41,52,63,40,92,74,89
44,47,61,36,92,59,51
45,45,59,44,93,42,50
45,46,57,43,90,43,54
44,48,56,41,94,45,74
43,45,57,30,84,39,44
41,46,60,28,90,43,34
42,45,60,37,92,45,46
43,44,59,42,93,40,67
42,40,59,54,99,58,100
42,45,59,51,109,73,118
42,44,59,50,133,72,129
41,45,60,43,142,57,89
40,46,60,38,121,56,77
39,50,62,47,118,54,82
39,51,63,44,89,47,53
41,49,63,44,78,51,45
43,47,67,37,85,66,43
47,45,72,42,113,58,61
44,44,72,39,115,58,50
44,48,71,36,116,49,62
45,48,70,44,99,53,72
48,47,68,66,101,52,104
44,47,70,64,89,47,75
41,46,69,56,77,49,71
37,44,68,52,70,61,78
38,44,65,47,80,87,116
38,46,61,51,106,91,206
39,46,61,62,121,105,300
