"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('C', 'D')","('C', 'E')","('C', 'F')","('D', 'E')","('D', 'F')","('E', 'F')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'E', 'F')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'E', 'F')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'E', 'F')","('D', 'E', 'F')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'E', 'F')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'E', 'F')","('A', 'D', 'E', 'F')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'E', 'F')","('B', 'D', 'E', 'F')","('C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'F')"
23,24,26,22,25,25,4,2,3,1,4,7,1,3,9,6,3,7,7,5,8,0,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,26,23,25,25,4,5,3,1,4,7,1,2,9,5,3,6,6,5,7,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,26,23,25,25,4,5,3,2,4,7,2,2,9,4,3,6,9,3,7,1,1,0,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,26,23,25,25,4,5,4,2,4,5,2,2,7,4,3,5,10,2,7,1,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,26,23,25,25,3,4,4,2,4,6,2,2,6,2,3,5,8,2,7,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,25,22,24,25,4,4,4,2,4,5,3,1,5,2,2,5,7,2,5,1,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,25,21,24,25,3,4,4,2,4,4,2,1,6,2,3,4,7,2,5,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,25,21,24,25,4,4,4,3,4,4,2,1,6,2,2,4,6,2,5,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,21,24,25,6,4,5,3,4,5,2,1,8,2,2,4,6,2,4,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,25,21,24,25,8,3,4,3,4,5,2,1,7,3,2,3,4,4,3,2,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,25,21,23,25,8,3,4,3,4,6,2,1,9,3,1,3,3,4,3,3,1,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
