Year	MUNICIPALITY_NAME	Cattle [#/km2]	Pork  [#/km2]	Poultry [#/km2]	Crops [%]	Flood control	Campsites [#/km2]	Outdoor activities [#/km2]	Human population [#/km2]	Distance from Montreal [km]	Soil capacity for agriculture																					CSDNAME	Year	CDNAME	gr	sept_gr	carbon	hunts	camp	outdo	modif.catt	modif.pig	modif.poult	modif.crop	modif.flood
1971	Acton Vale	29.46	47.83	512.48	31.39	0	0.000000	0.0000	62	90.91	4																					Acton_Vale	1971	Acton	4	4	0.728898976	0	0	0	0.819418826	0.250305796	0.273988449	0.565537216	0
1971	Ange Gardien	53.63	187.31	7171.49	46.66	0	2.923160	0.0000	12.77	65.29	3																					Acton_Vale	1976	Acton	2	3	1.094792728	0	0	0.800694311	0.865869248	0.249991802	0.003373531	0.526261296	0.731612488
1971	Beauharnois	27.94	0.45	3.83	36.77	0	0.000000	0.0000	143.51	28.92	2																					Acton_Vale	1981	Acton	2	3	1.322959776	0.022207907	0	1.195402775	0.830266529	0.376845502	0	0.470950711	0
1971	Bedford	45.33	4.99	1215.72	32.52	0	0.000000	0.0000	98.57	72.18	4																					Acton_Vale	1986	Acton	2	3	1.450707682	0.194319182	0	1.195402775	0.929286591	0.457437375	0.001860521	0.527342285	0
1971	Bethanie	41.79	37.45	8.68	33.7	0	0.000000	0.0000	8.5	100.63	5																					Acton_Vale	1991	Acton	1	1	1.51534401	0.860556379	0	0	0.960995262	0.440691012	0.002052989	0.443385501	0
1971	Bolton Ouest	13.24	11.4	5.27	8.53	0	0.000000	0.0000	4.86	104.47	7																					Acton_Vale	1996	Acton	1	1	1.554176325	2.265206468	0	0	1.656360865	0.466124551	0.040182213	0.495092791	0
1971	Boucherville	7	0.01	8.36	28.75	0.67	0.000000	0.0069	271.81	23.69	2																					Acton_Vale	2001	Acton	1	1	1.60451219	3.061915116	0.307326111	0	1.146876422	0.269564114	0	0.616163517	3.840965562
1971	Brigham	40.73	56.07	1145.68	28.45	0	0.000000	0.0000	12.19	76.77	4																					Acton_Vale	2006	Acton	1	1	1.703659168	2.964755525	0.466899424	0	1.965937631	1.103532996	0	0.758493686	1.280321854
1971	Bromont	NA	NA	NA	NA	0	1.755413	0.0209	10.46	83.1	7																					Ange_Gardien	1971	Rouville	6	6	0.394987199	0.005551977	0.816128641	0	1.49169829	0.980237898	3.834111423	0.840648821	0
1971	Calixa Lavallee	36.64	0	10.07	57.71	0	0.000000	0.0000	11.25	43.5	2																					Ange_Gardien	1976	Rouville	6	6	0.576411687	0.005551977	0.807127149	0	1.427724655	1.921697499	3.07826942	0.902085008	0
1971	Carignan	10.85	1.61	231.1	43.91	0.67	0.000000	0.0000	50.1	30.35	2																					Ange_Gardien	1981	Rouville	6	6	0.70678315	0.055519766	1.461230037	0	1.491141998	5.477212049	2.181706804	1.025678041	0
1971	Contrecoeur	16.96	0	78.6	21.57	0.67	0.000000	0.0000	66.2	54.24	4																					Ange_Gardien	1986	Rouville	6	6	0.787873324	0.111039533	1.701267889	0	1.588493182	5.389293642	2.21851625	1.027659853	0
1971	Coteau du Lac	29.78	1.95	58.65	36.41	0	0.000000	0.0000	22.08	45.58	3																					Ange_Gardien	1991	Rouville	6	6	0.821453944	0.399742318	1.701267889	0	1.148743975	3.349638948	1.123802801	0.902625502	0
1971	Dundee	31.78	2.92	385.54	25.65	0	0.000000	0.0000	6.18	81.61	2																					Ange_Gardien	1996	Rouville	6	6	0.809296745	0.813364578	1.701267889	0	1.425221339	5.050232122	3.165125811	1.015408649	0
1971	Dunham	25.34	11.27	883.47	21.27	0	0.132737	0.0000	10.88	83.27	3																					Ange_Gardien	2001	Rouville	6	6	0.753173461	1.65171305	0.567089296	0	1.598506447	5.431892203	3.717155223	1.060990336	0
