StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3458904,Anderson,124WLCX,1032,4/27/1993,1415,1,1,1,7,Analysis Balanced.  ,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,10,mg/L,
3458904,Anderson,124WLCX,1032,5/20/1998,1212,1,1,23,7,Analysis Balanced.  ,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,12.5,mg/L,
3458904,Anderson,124WLCX,1032,3/12/2002,1530,1,1,23,7,Analysis Balanced.  ,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,9.29,mg/L,
3458904,Anderson,124WLCX,1032,10/26/2005,1130,1,1,24,7,Analysis Balanced.  Petcock on discharge in bldg,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,10,mg/L,
3458904,Anderson,124WLCX,1032,4/23/2010,1005,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,11.9,mg/L,
3458904,Anderson,124WLCX,1032,4/8/2014,1326,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,11.7,mg/L,
3458904,Anderson,124WLCX,1032,6/27/2018,1640,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,10.6,mg/L,
3460602,Anderson,124CRRZ,652,3/14/2002,1042,1,1,23,7,Analysis Balanced.  ,32.0555556,-95.5058333,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,5.08,mg/L,
3460602,Anderson,124CRRZ,652,10/19/2005,920,1,1,24,7,Analysis Balanced.  install faucet on nipple,32.0555556,-95.5058333,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,6,mg/L,
3460602,Anderson,124CRRZ,652,4/28/2010,900,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,4.69,mg/L,
3460602,Anderson,124CRRZ,652,4/10/2014,845,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,9.89,mg/L,
3460603,Anderson,124CRRZ,605,4/28/1993,1130,1,1,1,7,Analysis Balanced.  ,32.055001,-95.505001,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,6,mg/L,
3460603,Anderson,124CRRZ,605,5/20/1998,1505,1,1,23,7,Analysis Balanced.  ,32.055001,-95.505001,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,4.99,mg/L,
3460906,Anderson,124CRRZ,815,10/20/2005,955,1,1,24,7,Analysis Balanced.  Faucet on discharge,32.011389,-95.511389,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,6,mg/L,
3460906,Anderson,124CRRZ,815,4/22/2010,920,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.011389,-95.511389,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,5.29,mg/L,
3460906,Anderson,124CRRZ,815,4/9/2014,855,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.011389,-95.511389,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,5.17,mg/L,
3801501,Anderson,124WLCX,673,4/27/1993,1045,1,1,1,7,Analysis Balanced.  ,31.9186111,-95.9205556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,21,mg/L,
3801501,Anderson,124WLCX,673,10/18/2005,1455,1,1,24,7,Analysis Balanced.  Faucet on wellhead,31.9186111,-95.9205556,941,"CHLORIDE, DISSOLVED (MG/L AS CL)",,18,mg/L,
