StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3458904,Anderson,124WLCX,1032,5/20/1998,1212,1,1,23,7,Analysis Balanced.  ,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,181,ug/L,
3458904,Anderson,124WLCX,1032,3/12/2002,1530,1,1,23,7,Analysis Balanced.  ,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,207,ug/L,
3458904,Anderson,124WLCX,1032,10/26/2005,1130,1,1,24,7,Analysis Balanced.  Petcock on discharge in bldg,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,155,ug/L,
3458904,Anderson,124WLCX,1032,4/23/2010,1005,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,151,ug/L,
3458904,Anderson,124WLCX,1032,4/8/2014,1326,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,163,ug/L,
3458904,Anderson,124WLCX,1032,6/27/2018,1640,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,1020,"BORON, DISSOLVED (UG/L AS B)",,155,ug/L,
3460602,Anderson,124CRRZ,652,3/14/2002,1042,1,1,23,7,Analysis Balanced.  ,32.0555556,-95.5058333,1020,"BORON, DISSOLVED (UG/L AS B)",,102,ug/L,
3460602,Anderson,124CRRZ,652,10/19/2005,920,1,1,24,7,Analysis Balanced.  install faucet on nipple,32.0555556,-95.5058333,1020,"BORON, DISSOLVED (UG/L AS B)",<,100,ug/L,
3460602,Anderson,124CRRZ,652,4/28/2010,900,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,1020,"BORON, DISSOLVED (UG/L AS B)",,57,ug/L,
3460602,Anderson,124CRRZ,652,4/10/2014,845,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,1020,"BORON, DISSOLVED (UG/L AS B)",,63.7,ug/L,
3460603,Anderson,124CRRZ,605,5/20/1998,1505,1,1,23,7,Analysis Balanced.  ,32.055001,-95.505001,1020,"BORON, DISSOLVED (UG/L AS B)",,87,ug/L,
3460906,Anderson,124CRRZ,815,10/20/2005,955,1,1,24,7,Analysis Balanced.  Faucet on discharge,32.011389,-95.511389,1020,"BORON, DISSOLVED (UG/L AS B)",<,100,ug/L,
