,"('arsenic',)","('copper',)","('boron',)","('chloride',)","('molybdenum',)","('vanadium',)","('arsenic', 'boron')","('arsenic', 'molybdenum')","('arsenic', 'vanadium')","('boron', 'molybdenum')","('boron', 'vanadium')","('molybdenum', 'vanadium')","('arsenic', 'boron', 'molybdenum')","('arsenic', 'boron', 'vanadium')","('arsenic', 'molybdenum', 'vanadium')","('boron', 'molybdenum', 'vanadium')","('arsenic', 'boron', 'molybdenum', 'vanadium')"
0,5,4,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-1,0,-2,1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
2,-3,-4,-4,-1,-3,-3,-4,-3,-3,-4,-4,-3,-4,-4,-3,-4,-4
3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0,-3,1,-2,0,0,1,0,0,1,1,0,1,1,0,1,1
5,-1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-2,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
7,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,0,0
8,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
9,-1,-1,-2,0,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
10,2,-1,4,3,2,2,4,2,2,4,4,2,4,4,2,4,4
11,-1,1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
13,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3
14,-6,-4,-7,-3,-6,-6,-7,-6,-6,-7,-7,-6,-7,-7,-6,-7,-7
15,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1
16,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17,3,2,2,1,3,3,2,3,3,2,2,3,2,2,3,2,2
18,4,2,2,2,4,4,2,4,4,2,2,4,2,2,4,2,2
19,-4,-2,-2,-3,-4,-4,-2,-4,-4,-2,-2,-4,-2,-2,-4,-2,-2
20,-3,-2,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
21,2,1,3,3,2,2,2,1,1,2,2,1,2,2,1,2,2
22,-2,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,0,1,-2,1,1,1,1,1,1,1,1,1,1,1,1,1
25,-3,-1,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
26,10,9,10,8,10,10,9,9,9,9,9,9,9,9,9,9,9
27,-3,-3,-5,-5,-3,-3,-4,-2,-2,-4,-4,-2,-4,-4,-2,-4,-4
28,0,1,2,0,0,0,2,0,0,2,2,0,2,2,0,2,2
29,-7,-6,-7,-2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
30,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,-2,-1,0,2,2,-1,2,2,-1,-1,2,-1,-1,2,-1,-1
32,-3,-1,-1,-2,-3,-3,-1,-3,-3,-1,-1,-3,-1,-1,-3,-1,-1
33,4,3,5,4,4,4,5,4,4,5,5,4,5,5,4,5,5
34,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
37,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
38,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
39,4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
40,8,5,3,4,8,8,4,9,9,4,4,9,4,4,9,4,4
41,-4,-3,-1,-1,-4,-4,-1,-4,-4,-1,-1,-4,-1,-1,-4,-1,-1
42,-8,-2,-6,-6,-8,-8,-6,-8,-8,-6,-6,-8,-6,-6,-8,-6,-6
43,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
44,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
46,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,-2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
48,5,4,4,2,5,5,4,5,5,4,4,5,4,4,5,4,4
49,-1,-1,-2,0,-1,-1,-3,-2,-2,-3,-3,-2,-3,-3,-2,-3,-3
50,-6,-2,-4,-2,-6,-6,-3,-5,-5,-3,-3,-5,-3,-3,-5,-3,-3
51,3,3,0,-1,3,3,0,3,3,0,0,3,0,0,3,0,0
52,1,-1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2
53,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
54,-4,-3,-2,-1,-4,-4,-2,-4,-4,-2,-2,-4,-2,-2,-4,-2,-2
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4,1,1,0,4,4,1,4,4,1,1,4,1,1,4,1,1
57,1,1,3,0,1,1,2,0,0,2,2,0,2,2,0,2,2
58,1,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2
59,-7,-5,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
60,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
61,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,2,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1
63,-7,-5,-7,-5,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
64,-3,1,-2,-1,-3,-3,-2,-3,-3,-2,-2,-3,-2,-2,-3,-2,-2
65,0,-1,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1
66,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
67,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
68,5,-1,-2,2,5,5,-3,3,3,-3,-3,3,-3,-3,3,-3,-3
69,-10,-2,-2,-4,-10,-10,-1,-8,-8,-1,-1,-8,-1,-1,-8,-1,-1
70,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,11,3,8,5,11,11,8,11,11,8,8,11,8,8,11,8,8
72,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,-2,-3,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2
74,-12,0,-7,-2,-12,-12,-7,-12,-12,-7,-7,-12,-7,-7,-12,-7,-7
75,0,-1,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0,-1,-1
76,2,1,0,2,2,2,0,2,2,0,0,2,0,0,2,0,0
77,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2
78,-3,-3,0,-3,-3,-3,0,-2,-2,0,0,-2,0,0,-2,0,0
79,-1,1,-2,0,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
80,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
81,-1,-2,-2,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
82,-2,1,0,-1,-2,-2,0,-2,-2,0,0,-2,0,0,-2,0,0
83,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1
84,1,0,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1
85,1,1,3,1,1,1,3,1,1,3,3,1,3,3,1,3,3
86,0,0,-1,1,0,0,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2
87,-2,-2,-1,-1,-2,-2,0,-1,-1,0,0,-1,0,0,-1,0,0
88,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
89,0,-1,-2,1,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2
90,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1
