StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3458904,Anderson,124WLCX,1032,3/12/2002,1530,1,1,23,7,Analysis Balanced.  ,32.0161028,-95.7518556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.16,mg/L,
3458904,Anderson,124WLCX,1032,10/26/2005,1130,1,1,24,7,Analysis Balanced.  Petcock on discharge in bldg,32.0161028,-95.7518556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3458904,Anderson,124WLCX,1032,4/23/2010,1005,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3458904,Anderson,124WLCX,1032,4/8/2014,1326,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.2,mg/L,
3458904,Anderson,124WLCX,1032,6/27/2018,1640,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.155,mg/L,
3460602,Anderson,124CRRZ,652,3/14/2002,1042,1,1,23,7,Analysis Balanced.  ,32.0555556,-95.5058333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.11,mg/L,
3460602,Anderson,124CRRZ,652,10/19/2005,920,1,1,24,7,Analysis Balanced.  install faucet on nipple,32.0555556,-95.5058333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.1,mg/L,
3460602,Anderson,124CRRZ,652,4/28/2010,900,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.14,mg/L,
3460602,Anderson,124CRRZ,652,4/10/2014,845,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.11,mg/L,
3460906,Anderson,124CRRZ,815,10/20/2005,955,1,1,24,7,Analysis Balanced.  Faucet on discharge,32.011389,-95.511389,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.1,mg/L,
3460906,Anderson,124CRRZ,815,4/22/2010,920,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.011389,-95.511389,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.13,mg/L,
