A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,ABCD
48,34,57,53,32,11,2,4,0,1,6,0,0,0,0
47,34,57,53,31,10,2,4,0,0,5,0,0,0,0
48,34,57,54,32,10,2,3,1,0,5,0,0,0,0
48,35,58,54,32,10,1,5,1,0,6,0,0,0,0
48,34,58,54,31,12,0,5,1,0,6,0,0,0,0
48,34,58,53,31,15,0,5,2,0,7,0,0,0,0
47,34,58,53,33,17,0,7,1,0,8,0,0,0,0
47,34,57,54,33,17,0,8,1,0,10,0,0,0,0
47,34,58,54,33,17,0,8,1,0,12,0,0,0,0
47,34,58,54,33,18,0,8,1,1,12,0,0,0,0
47,34,58,54,33,21,0,11,1,2,15,0,0,1,0
47,34,58,54,35,19,0,11,1,2,17,0,0,1,0
47,34,58,55,37,17,0,10,1,2,18,0,0,1,0
47,34,58,55,38,18,0,10,1,2,20,0,0,1,0
47,34,59,55,37,19,0,13,2,3,24,0,0,1,0
47,34,59,55,38,21,0,13,2,3,26,0,0,1,0
47,34,59,55,39,21,1,12,2,1,26,1,0,0,0
47,35,59,55,39,21,1,10,2,1,22,1,0,0,0
47,35,59,55,39,21,2,9,3,2,16,2,0,0,0
47,34,58,55,36,17,3,9,4,2,15,2,0,0,0
47,34,58,55,35,16,6,10,4,2,14,4,0,0,0
47,34,58,55,37,15,7,9,3,2,13,4,0,0,0
47,34,58,55,37,17,6,9,3,2,15,4,0,0,0
47,34,58,55,37,16,4,8,2,2,14,3,1,0,0
46,33,58,56,33,17,4,9,2,2,15,3,1,0,0
45,32,58,55,33,18,5,9,3,2,16,4,1,1,1
46,32,58,55,34,19,6,9,2,2,16,3,1,1,1
46,32,58,56,34,20,5,9,2,2,16,3,1,1,1
47,32,58,56,32,20,4,10,2,1,17,2,1,1,1
47,33,58,56,30,20,3,10,1,1,17,1,1,1,1
47,33,58,56,27,21,3,9,1,2,16,1,1,1,1
47,33,58,56,25,19,3,8,3,2,13,1,0,0,0
48,33,57,56,27,18,3,8,3,1,13,1,0,0,0
48,33,57,56,27,19,1,7,3,1,11,0,0,0,0
48,33,57,57,26,16,1,7,3,1,11,0,0,0,0
48,33,57,57,25,17,2,8,2,1,12,0,0,0,0
48,33,57,57,27,17,2,8,3,1,12,1,1,0,0
48,33,57,57,28,17,3,9,3,1,12,1,1,0,0
48,34,57,56,28,19,3,10,1,2,12,0,2,0,0
48,34,57,56,29,21,4,9,2,2,11,0,2,0,0
48,34,57,56,28,18,4,7,2,2,9,0,1,0,0
48,35,57,55,29,18,4,6,4,2,11,1,0,0,0
48,35,57,55,27,16,3,8,2,3,10,1,0,0,0
49,35,56,56,28,15,3,6,2,2,9,1,0,0,0
50,36,56,56,33,13,3,6,2,3,9,1,0,0,0
50,37,55,56,34,13,2,6,3,3,9,1,0,0,0
51,37,55,56,34,13,2,7,3,2,10,1,0,0,0
52,37,54,57,34,12,3,7,4,2,11,1,0,0,0
53,37,55,58,34,13,2,7,6,2,12,2,0,0,0
53,36,56,58,34,13,2,7,5,2,12,2,0,0,0
54,36,57,58,34,14,3,6,6,1,11,3,0,0,0
54,36,57,59,33,14,3,7,6,1,10,3,0,0,0
54,36,56,60,32,14,3,5,5,1,9,4,0,0,0
54,36,56,60,33,14,5,6,4,0,9,3,0,0,0
54,36,56,60,32,15,4,7,4,0,9,2,0,0,0
54,36,56,60,32,17,4,8,2,0,10,2,0,0,0
54,36,57,60,33,19,5,11,2,0,12,3,0,0,0
53,36,57,60,31,17,6,11,1,0,12,3,0,0,0
53,36,57,59,33,19,7,11,1,0,13,3,0,0,0
53,35,57,59,35,20,7,11,0,0,15,0,0,0,0
53,35,57,59,33,20,8,12,0,1,15,0,0,0,0
53,34,57,59,33,19,8,10,1,2,14,3,0,0,0
52,34,57,59,33,19,8,10,1,3,13,3,0,0,0
52,34,57,59,33,19,8,10,1,5,14,3,0,0,0
52,34,58,60,32,22,8,8,1,6,11,3,0,0,0
51,34,58,60,31,23,9,8,1,5,14,3,1,0,0
51,34,58,60,33,25,10,8,1,8,13,5,7,1,3
51,34,58,60,32,25,9,7,2,7,13,5,7,1,3
52,34,58,60,30,24,9,7,2,6,13,5,7,1,3
52,35,57,60,30,26,9,7,2,7,14,5,8,1,5
52,34,57,60,29,26,9,6,3,7,13,4,8,1,4
52,34,57,60,28,25,10,6,4,7,13,5,8,2,5
50,34,58,60,29,19,8,5,3,5,9,3,5,0,0
50,34,59,59,30,18,7,4,2,4,8,2,2,0,0
50,34,59,59,30,16,8,5,2,4,7,2,2,0,0
50,34,59,59,29,14,7,5,1,3,3,2,2,0,0
50,34,59,61,28,13,6,7,1,2,3,2,2,0,0
50,34,59,61,27,13,5,7,1,2,2,2,2,0,0
50,35,59,61,24,12,4,7,1,3,2,2,2,0,0
50,35,59,61,23,13,4,8,2,3,4,2,2,0,0
50,34,59,61,24,13,2,7,2,3,5,1,2,0,0
50,35,59,62,26,14,3,6,2,3,6,1,2,0,0
47,35,58,62,24,15,3,7,2,5,9,1,2,0,0
47,35,58,63,23,14,3,6,2,5,9,1,2,0,0
47,35,56,63,24,13,5,6,3,4,8,2,2,0,0
47,33,56,63,25,13,4,5,2,4,8,3,2,0,0
47,33,56,63,28,12,4,5,3,5,8,3,1,0,0
47,34,57,63,30,13,4,6,3,6,12,3,1,0,0
47,34,56,62,31,13,5,5,2,6,10,3,1,0,0
45,33,56,62,27,13,5,5,3,5,10,3,1,0,0
46,33,56,62,30,14,6,6,3,5,12,5,1,0,0
46,32,57,62,30,13,6,7,2,5,14,4,1,1,1
45,32,57,62,32,13,8,7,2,4,16,4,2,1,2
45,33,57,61,33,13,7,7,3,4,16,3,2,1,2
45,33,57,61,32,10,7,7,4,5,13,3,3,1,2
45,33,57,63,32,11,5,8,4,5,13,3,3,1,2
45,33,57,63,32,11,6,7,4,5,11,3,3,2,2
45,33,57,64,31,11,6,6,4,6,9,3,2,2,1
45,33,57,64,32,12,5,8,4,6,10,2,2,2,1
45,33,56,64,32,12,4,9,5,6,12,2,2,2,1
45,34,56,64,32,14,3,9,5,6,15,1,1,2,0
45,34,54,63,32,14,3,9,3,6,15,0,2,1,0
45,34,54,63,30,15,3,9,1,5,15,0,1,0,0
45,34,54,63,28,16,2,10,1,5,15,0,1,0,0
45,34,54,63,29,17,2,9,1,4,14,0,1,0,0
45,34,55,63,28,17,3,8,1,3,12,0,0,0,0
44,34,56,63,26,15,3,8,1,3,11,0,0,0,0
44,33,56,63,26,15,3,7,1,2,12,0,0,0,0
44,33,56,62,26,15,2,6,0,2,12,0,0,0,0
44,33,56,61,24,15,2,6,0,2,12,0,0,0,0
44,33,56,61,25,14,2,6,0,3,10,0,0,0,0
44,33,56,61,27,14,2,6,0,3,10,0,0,0,0
44,33,56,61,27,14,3,5,0,3,9,0,0,0,0
44,33,56,60,28,14,4,4,0,3,7,0,0,0,0
44,33,56,60,28,13,4,4,0,2,7,0,0,0,0
45,33,56,60,29,13,4,3,0,2,8,0,0,0,0
45,33,56,60,30,13,4,3,1,2,7,0,0,0,0
46,33,56,60,30,13,2,3,1,2,7,0,0,0,0
46,33,57,60,30,14,2,5,1,3,9,0,0,0,0
45,33,57,60,30,15,1,7,2,3,10,0,0,0,0
45,33,57,60,30,14,2,8,2,2,11,1,0,0,0
46,34,57,60,31,15,3,9,3,2,13,1,0,0,0
47,34,58,60,32,16,3,10,2,2,14,2,1,0,0
46,34,58,60,32,17,3,9,1,2,15,2,1,0,0
47,34,58,60,32,16,3,9,1,2,14,2,1,0,0
48,35,58,60,34,16,3,8,2,2,14,2,1,0,0
48,35,59,60,35,18,1,9,2,2,14,0,1,0,0
48,37,59,60,38,18,2,8,2,3,15,1,1,0,0
48,37,58,61,38,19,2,7,2,2,15,1,0,0,0
48,37,57,61,37,17,1,7,1,2,14,0,0,0,0
50,39,57,59,40,15,0,8,2,3,14,0,0,0,0
50,39,57,59,40,18,0,8,2,1,18,0,0,0,0
52,38,57,60,42,19,0,8,2,2,21,0,0,0,0
52,38,58,59,41,20,0,9,2,2,20,0,0,0,0
51,38,59,59,40,23,0,11,2,2,23,0,0,0,0
51,38,59,59,40,27,0,11,2,2,26,0,0,0,0
52,38,60,59,40,28,0,11,2,2,25,0,0,0,0
52,37,58,59,39,25,1,10,2,2,22,0,0,0,0
52,37,58,59,37,25,2,9,1,1,16,0,0,0,0
52,38,58,59,38,22,2,9,1,2,15,1,0,0,0
52,38,58,59,39,21,0,6,2,1,13,0,0,0,0
52,38,58,59,40,18,2,6,2,2,12,1,0,0,0
51,38,58,58,40,17,5,6,2,3,12,4,3,1,3
52,37,58,58,39,18,5,5,2,3,11,4,3,1,3
52,37,58,58,38,20,5,5,3,2,10,4,3,1,3
52,37,57,57,38,19,6,7,3,2,10,4,3,1,3
52,37,57,57,37,22,7,7,2,2,12,1,3,0,0
52,36,57,57,35,23,6,6,2,3,12,1,2,0,0
51,36,57,57,32,22,4,6,2,2,12,1,0,0,0
51,37,56,57,32,21,3,6,1,2,12,1,0,0,0
50,37,56,57,31,20,3,6,2,2,12,2,0,0,0
49,37,55,57,31,17,3,6,2,3,12,2,0,0,0
49,38,54,58,30,16,2,5,2,3,12,2,0,0,0
49,38,52,56,30,15,2,6,2,4,12,2,0,0,0
51,38,52,56,31,16,2,5,2,5,13,2,0,0,0
51,38,53,56,33,16,2,4,2,5,12,2,0,0,0
50,39,53,56,33,14,3,4,1,5,12,1,0,0,0
51,39,53,56,34,13,2,4,1,3,12,1,0,0,0
51,39,53,55,33,14,2,4,0,3,11,0,0,0,0
51,39,53,55,32,13,1,4,0,3,9,0,0,0,0
51,41,53,55,32,12,1,6,0,4,9,0,0,0,0
51,41,53,55,31,14,1,6,0,4,11,0,0,0,0
51,41,54,55,31,15,1,6,1,4,12,0,0,0,0
51,41,54,55,30,14,1,5,2,3,11,0,0,0,0
51,41,53,55,31,14,2,5,2,2,11,1,0,0,0
50,41,53,56,33,14,2,7,1,3,10,1,0,0,0
50,41,53,56,34,16,2,6,1,3,9,1,0,0,0
49,41,53,56,35,15,2,5,1,4,7,1,0,0,0
49,41,53,57,35,13,2,6,0,4,9,0,1,0,0
49,41,52,57,35,14,1,5,0,4,9,0,1,0,0
49,41,52,56,35,13,1,5,0,4,10,0,1,0,0
