StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3458904,Anderson,124WLCX,1032,4/23/2010,1005,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3458904,Anderson,124WLCX,1032,4/8/2014,1326,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3458904,Anderson,124WLCX,1032,6/27/2018,1640,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0161028,-95.7518556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3460602,Anderson,124CRRZ,652,4/28/2010,900,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3460602,Anderson,124CRRZ,652,4/10/2014,845,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.0555556,-95.5058333,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3460906,Anderson,124CRRZ,815,4/22/2010,920,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.011389,-95.511389,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3460906,Anderson,124CRRZ,815,4/9/2014,855,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.011389,-95.511389,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3801501,Anderson,124WLCX,673,4/21/2010,920,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.9186111,-95.9205556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3801501,Anderson,124WLCX,673,4/10/2014,1051,1,1,23,7,Analysis Unbalanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.9186111,-95.9205556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3801501,Anderson,124WLCX,673,6/13/2018,1205,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.9186111,-95.9205556,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3803805,Anderson,124WLCX,1320,4/23/2010,915,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.9119861,-95.7051028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
3803805,Anderson,124WLCX,1320,4/8/2014,1435,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.9119861,-95.7051028,22703,"URANIUM, NATURAL, DISSOLVED (UG/L AS U)",<,1,ug/L,
